govuk-footer__link,govuk-footer__link href
Benefits,https://www.gov.uk/browse/benefits
"Births, deaths, marriages and care",https://www.gov.uk/browse/births-deaths-marriages
Business and self-employed,https://www.gov.uk/browse/business
Childcare and parenting,https://www.gov.uk/browse/childcare-parenting
Citizenship and living in the UK,https://www.gov.uk/browse/citizenship
"Crime, justice and the law",https://www.gov.uk/browse/justice
Disabled people,https://www.gov.uk/browse/disabilities
Driving and transport,https://www.gov.uk/browse/driving
Education and learning,https://www.gov.uk/browse/education
Employing people,https://www.gov.uk/browse/employing-people
Environment and countryside,https://www.gov.uk/browse/environment-countryside
Housing and local services,https://www.gov.uk/browse/housing-local-services
Money and tax,https://www.gov.uk/browse/tax
"Passports, travel and living abroad",https://www.gov.uk/browse/abroad
Visas and immigration,https://www.gov.uk/browse/visas-immigration
"Working, jobs and pensions",https://www.gov.uk/browse/working
